transport_id;date;country_from;postal_from;city_from;country_to;postal_to;city_to;distance_km;transport_type;weight_kg;pallets;loading_meters;price;currency;adr;refrigerated;ramp
177;2024-07-04;SI;1370;Logatec;SI;2310;Slovenska Bistrica;137;LTL;250;1;0.4;70;EUR;0;0;0
178;2021-04-08;DE;41468;Neuss;SI;1235;Radomlje;1017;LTL;370;1;0.4;120;EUR;0;0;0
179;2024-08-12;SI;1370;Logatec;SI;3311;Šempeter;94;LTL;60;1;0.4;50;EUR;0;0;0
180;2019-11-08;CZ;40778;Velky Šenov;SI;4000;Kranj;920;LTL;800;3;1.2;200;EUR;0;0;0
181;2021-09-15;DE;41468;Neuss;SI;1240;Kamnik;1019;LTL;190;1;0.4;100;EUR;0;0;0
182;2021-11-05;DE;41468;Neuss;SI;1240;Kamnik;1019;LTL;400;1;0.4;140;EUR;0;0;0
183;2022-10-27;SI;3320;Štore;DE;42279;Wuppertal;1060;LTL;360;1;0.4;130;EUR;0;0;0
184;2019-12-16;SI;2380;Slovenij Gradec;DE;99334;Amt Wachsenburg;792;LTL;670;1;0.5;150;EUR;0;0;0
185;2020-07-23;SI;1230;Domžale;DE;76187;Karlsruhe;710;LTL;30;2;0.1;130;EUR;0;0;0
186;2021-01-20;DE;66740;Saarlouis-Fraulautern;SI;3220;Štore;980;LTL;85;1;0.2;90;EUR;0;0;0
187;2024-06-12;SI;2000;Maribor;SI;1000;Ljubljana;136;LTL;200;2;0.8;60;EUR;0;0;0
188;2024-05-17;SI;1000;Ljubljana;DE;6184;Kabelsketal;837;LTL;46;2;0.2;80;EUR;0;0;0
189;2020-04-22;SI;5270;Ajdovščina;DE;72202;Nagold;743;LTL;650;1;0.8;150;EUR;0;0;0
190;2021-01-21;DE;59759;Arnsberg-Huesten;SI;2390;Ravne na Koroškem;1015;LTL;300;1;0.4;110;EUR;0;0;0
191;2020-07-13;DE;58642;Iserlohn-Letmathe;SI;4000;Kranj;973;LTL;150;1;0.3;100;EUR;0;0;0
192;2025-04-14;DE;20095;Hamburg;SI;8210;Trebnje;1233;LTL;20;1;0.1;100;EUR;0;0;0
193;2024-11-05;SI;1000;Ljubljana;DE;44287;Dortmund;1017;LTL;50;1;0.2;110;EUR;0;0;0
194;2023-04-07;SI;1000;Ljubljana;DE;56567;Neuwied;932;LTL;450;1;0.4;150;EUR;0;0;0
195;2025-05-08;SI;9000;Murska Sobota;SI;1000;Ljubljana;183;LTL;50;1;0.4;50;EUR;0;0;0
196;2023-03-27;DE;58642;Iserlohn-Letmathe;SI;4000;Kranj;1006;LTL;55;1;0.3;80;EUR;0;0;0
197;2025-07-25;DE;97638;Mellrichstadt;SI;8000;Novo mesto;822;LTL;61;2;0.4;120;EUR;0;0;0
198;2022-11-16;DE;58642;Iserlohn-Letmathe;SI;4000;Kranj;973;LTL;116;1;0.3;100;EUR;0;0;0
199;2025-08-28;DE;89551;Koenigsbronn;SI;8000;Novo mesto;656;LTL;181;1;0.2;120;EUR;0;0;0
200;2026-02-13;DE;89551;Koenigsbronn;SI;8000;Novo mesto;656;LTL;370;1;0.2;170;EUR;0;0;0
201;2025-09-02;DE;97638;Mellrichstadt;SI;8000;Novo mesto;822;LTL;18;1;0.3;120;EUR;0;0;0
